id,sku,ean,ean_uk,ean_it,ean_de,ean_fr,ean_es,ean_pt,ean_us,name,slug,width,length,height,frame_width,folded_up_height,folded_up_projection,folded_down_projection,frame_distance_from_ground,mounting_frame_height,maximum_mattress_depth,orientation,type,color,weight,stock,package_dimensions,pack_1,pack_2,pack_3,pack_4,price_gbp,price_euro,price_usd,sale_percent,sale_fix_gbp,sale_fix_euro,sale_fix_usd,sale_price_gbp,sale_price_euro,sale_price_usd,category,parent_category,sub_category,backorder,visibility,warranty,description,image,hover_image,product_images,product_image_alt,meta_title,meta_description,has_3d,created_at,updated_at
1,V76x190,5016853024392,,,,,,,,Small Single Vertical Classic Bed,small-single-vertical-classic-bed-76x190,760,1900,,860,2050,410,2180,204,510,300,Vertical,Classic,Black,30,100,,150 x 45 x 15,,,,599,599,599,30,,,,419,419,419,Base Beds > Vertical > Classic,beds,Classic,true,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp,/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp,"[""/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp"",""/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp"",""/product-images/morphy-integrated/160x200-4.jpg"",""/product-images/morphy-integrated/160x200-6.jpg"",""/product-images/morphy-integrated/160x200-8.jpg""]",Small Single Vertical Classic Bed 76x190 Black,Small Single Vertical Classic Bed 76x190,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",false,2026-08-25 08:58:00.022502+00,2026-08-25 08:58:00.022502+00
2,V90x190,5007683829234,,,,,,,,Single Vertical Classic Bed,single-vertical-classic-bed-90x190,900,1900,,990,2050,410,2180,204,510,300,Vertical,Classic,Black,30,100,,150 x 45 x 15,,,,749,749,749,30,,,,524,524,524,Base Beds > Vertical > Classic,beds,Classic,true,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp,/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp,"[""/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp"",""/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp"",""/product-images/morphy-integrated/160x200-4.jpg"",""/product-images/morphy-integrated/160x200-6.jpg"",""/product-images/morphy-integrated/160x200-8.jpg""]",Single Vertical Classic Bed 90x190 Black,Single Vertical Classic Bed 90x190,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",false,2026-08-25 08:58:00.022502+00,2026-08-25 08:58:00.022502+00
3,V90x200,5070502507993,,,,,,,,European Single Vertical Classic Bed,european-single-vertical-classic-bed-90x200,900,2000,,990,2150,410,2260,204,510,300,Vertical,Classic,Black,30,100,,150 x 45 x 15,,,,749,749,749,30,,,,524,524,524,Base Beds > Vertical > Classic,beds,Classic,true,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp,/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp,"[""/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp"",""/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp"",""/product-images/morphy-integrated/160x200-4.jpg"",""/product-images/morphy-integrated/160x200-6.jpg"",""/product-images/morphy-integrated/160x200-8.jpg""]",European Single Vertical Classic Bed 90x200 Black,European Single Vertical Classic Bed 90x200,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",false,2026-08-25 08:58:00.022502+00,2026-08-25 08:58:00.022502+00
4,V120x190,5099576237011,,,,,,,,Small Double Vertical Classic Bed,small-double-vertical-classic-bed-120x190,1200,1900,,1290,2050,410,2180,204,510,300,Vertical,Classic,Black,35,100,,130 x 45 x 15,,,,849,849,849,30,,,,594,594,594,Base Beds > Vertical > Classic,beds,Classic,true,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp,/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp,"[""/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp"",""/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp"",""/product-images/morphy-integrated/160x200-4.jpg"",""/product-images/morphy-integrated/160x200-6.jpg"",""/product-images/morphy-integrated/160x200-8.jpg""]",Small Double Vertical Classic Bed 120x190 Black,Small Double Vertical Classic Bed 120x190,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",false,2026-08-25 08:58:00.022502+00,2026-08-25 08:58:00.022502+00
5,V120x200,5008544983958,,,,,,,,European Small Double Vertical Classic Bed,european-small-double-vertical-classic-bed-120x200,1200,2000,,1290,2150,410,2260,204,510,300,Vertical,Classic,Black,35,100,,130 x 45 x 15,,,,849,849,849,30,,,,594,594,594,Base Beds > Vertical > Classic,beds,Classic,true,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp,/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp,"[""/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp"",""/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp"",""/product-images/morphy-integrated/160x200-4.jpg"",""/product-images/morphy-integrated/160x200-6.jpg"",""/product-images/morphy-integrated/160x200-8.jpg""]",European Small Double Vertical Classic Bed 120x200 Black,European Small Double Vertical Classic Bed 120x200,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",false,2026-08-25 08:58:00.022502+00,2026-08-25 08:58:00.022502+00
6,V135x190,5018700439028,,,,,,,,Double Vertical Classic Bed,double-vertical-classic-bed-135x190,1350,1900,,1470,2050,410,2180,204,510,300,Vertical,Classic,Black,40,100,,150 x 45 x 15,130 x 12 x 9,,,899,899,899,30,,,,629,629,629,Base Beds > Vertical > Classic,beds,Classic,true,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp,/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp,"[""/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp"",""/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp"",""/product-images/morphy-integrated/160x200-4.jpg"",""/product-images/morphy-integrated/160x200-6.jpg"",""/product-images/morphy-integrated/160x200-8.jpg""]",Double Vertical Classic Bed 135x190 Black,Double Vertical Classic Bed 135x190,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",false,2026-08-25 08:58:00.022502+00,2026-08-25 08:58:00.022502+00
7,V140x190,5085067599700,,,,,,,,European Double Vertical Classic Bed,european-double-vertical-classic-bed-140x190,1400,1900,,1520,2050,410,2180,204,510,300,Vertical,Classic,Black,40,100,,150 x 45 x 15,135 x 12 x 9,,,899,899,899,30,,,,629,629,629,Base Beds > Vertical > Classic,beds,Classic,true,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp,/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp,"[""/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp"",""/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp"",""/product-images/morphy-integrated/160x200-4.jpg"",""/product-images/morphy-integrated/160x200-6.jpg"",""/product-images/morphy-integrated/160x200-8.jpg""]",European Double Vertical Classic Bed 140x190 Black,European Double Vertical Classic Bed 140x190,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",false,2026-08-25 08:58:00.022502+00,2026-08-25 08:58:00.022502+00
8,V140x200,5000676119463,,,,,,,,European Double Long Vertical Classic Bed,european-double-long-vertical-classic-bed-140x200,1400,2000,,1500,2150,410,2260,204,510,300,Vertical,Classic,Black,40,100,,150 x 45 x 15,135 x 12 x 9,,,949,949,949,30,,,,664,664,664,Base Beds > Vertical > Classic,beds,Classic,true,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp,/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp,"[""/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp"",""/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp"",""/product-images/morphy-integrated/160x200-4.jpg"",""/product-images/morphy-integrated/160x200-6.jpg"",""/product-images/morphy-integrated/160x200-8.jpg""]",European Double Long Vertical Classic Bed 140x200 Black,European Double Long Vertical Classic Bed 140x200,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",false,2026-08-25 08:58:00.022502+00,2026-08-25 08:58:00.022502+00
9,V150x200,5035358036397,,,,,,,,King Vertical Classic Bed,king-vertical-classic-bed-150x200,1500,2000,,1620,2150,410,2260,204,510,300,Vertical,Classic,Black,45,100,,170 x 45 x 15,145 x 12 x 9,,,999,999,999,30,,,,699,699,699,Base Beds > Vertical > Classic,beds,Classic,true,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp,/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp,"[""/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp"",""/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp"",""/product-images/morphy-integrated/160x200-4.jpg"",""/product-images/morphy-integrated/160x200-6.jpg"",""/product-images/morphy-integrated/160x200-8.jpg""]",King Vertical Classic Bed 150x200 Black,King Vertical Classic Bed 150x200,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",false,2026-08-25 08:58:00.022502+00,2026-08-25 08:58:00.022502+00
10,V160x200,5029981412955,,,,,,,,European King Vertical Classic Bed,european-king-vertical-classic-bed-160x200,1600,2000,,1720,2150,410,2260,204,510,300,Vertical,Classic,Black,45,100,,170 x 48 x 17,145 x 13 x 9,,,999,999,999,30,,,,699,699,699,Base Beds > Vertical > Classic,beds,Classic,true,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp,/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp,"[""/product-images/MORPHY-Bed-Vertical-Classic-200x200-6.webp"",""/product-images/MORPHY-Bed-Vertical-Classic-200x200-2-mattress.webp"",""/product-images/morphy-integrated/160x200-4.jpg"",""/product-images/morphy-integrated/160x200-6.jpg"",""/product-images/morphy-integrated/160x200-8.jpg""]",European King Vertical Classic Bed 160x200 Black,European King Vertical Classic Bed 160x200,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",false,2026-08-25 08:58:00.022502+00,2026-08-25 08:58:00.022502+00
