ID,EAN,Name,Width,Length,Height,Frame width,Folded up height,Folded up projection,Folded down projection,Frame distance from ground,Mounting frame height,Maximum mattress depth,Orientation,Type,Color,Weight,Stock,Package Dimensions,Price GBP,Price EURO,Price USD,Sale Percent,Sale Fix GBP,Sale Fix EURO,Sale Fix USD,Sale Price GBP,Sale Price EURO,Sale Price USD,Category,Backorder,Visibility,Warranty,Description,Product Images,Product Image Alt,Slug,Meta Title,Meta Description
1,5016853024392,Small Single Vertical Classic Bed,760,1900,,860,2050,410,2180,204,510,300,Vertical,Classic,Black,,100,,599,,,30,,,,419,,,Base Beds > Vertical > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,Small Single Vertical Classic Bed 76x190 Black,small-single-vertical-classic-bed-76x190,Small Single Vertical Classic Bed 76x190,"Small Single Vertical Classic Bed 76x190 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms a Shop now!"
2,5007683829234,Single Vertical Classic Bed,900,1900,,990,2050,410,2180,204,510,300,Vertical,Classic,Black,,100,,749,,,30,,,,524,,,Base Beds > Vertical > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,Single Vertical Classic Bed 90x190 Black,single-vertical-classic-bed-90x190,Single Vertical Classic Bed 90x190,"Single Vertical Classic Bed 90x190 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and mul Shop now!"
3,5070502507993,European Single Vertical Classic Bed,900,2000,,990,2150,410,2260,204,510,300,Vertical,Classic,Black,,100,,749,,,30,,,,524,,,Base Beds > Vertical > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,European Single Vertical Classic Bed 90x200 Black,european-single-vertical-classic-bed-90x200,European Single Vertical Classic Bed 90x200,"European Single Vertical Classic Bed 90x200 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest room Shop now!"
4,5099576237011,Small Double Vertical Classic Bed,1200,1900,,1290,2050,410,2180,204,510,300,Vertical,Classic,Black,,100,,849,,,30,,,,594,,,Base Beds > Vertical > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,Small Double Vertical Classic Bed 120x190 Black,small-double-vertical-classic-bed-120x190,Small Double Vertical Classic Bed 120x190,"Small Double Vertical Classic Bed 120x190 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms  Shop now!"
5,5008544983958,European Small Double Vertical Classic Bed,1200,2000,,1290,2150,410,2260,204,510,300,Vertical,Classic,Black,,100,,849,,,30,,,,594,,,Base Beds > Vertical > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,European Small Double Vertical Classic Bed 120x200 Black,european-small-double-vertical-classic-bed-120x200,European Small Double Vertical Classic Bed 120x200,"European Small Double Vertical Classic Bed 120x200 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, gue Shop now!"
6,5018700439028,Double Vertical Classic Bed,1350,1900,,1470,2050,410,2180,204,510,300,Vertical,Classic,Black,,100,,899,,,30,,,,629,,,Base Beds > Vertical > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,Double Vertical Classic Bed 135x190 Black,double-vertical-classic-bed-135x190,Double Vertical Classic Bed 135x190,"Double Vertical Classic Bed 135x190 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and mu Shop now!"
7,5085067599700,European Double Vertical Classic Bed,1400,1900,,1520,2050,410,2180,204,510,300,Vertical,Classic,Black,,100,,899,,,30,,,,629,,,Base Beds > Vertical > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,European Double Vertical Classic Bed 140x190 Black,european-double-vertical-classic-bed-140x190,European Double Vertical Classic Bed 140x190,"European Double Vertical Classic Bed 140x190 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest roo Shop now!"
8,5000676119463,European Double Long Vertical Classic Bed,1400,2000,,1500,2150,410,2260,204,510,300,Vertical,Classic,Black,,100,,949,,,30,,,,664,,,Base Beds > Vertical > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,European Double Long Vertical Classic Bed 140x200 Black,european-double-long-vertical-classic-bed-140x200,European Double Long Vertical Classic Bed 140x200,"European Double Long Vertical Classic Bed 140x200 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, gues Shop now!"
9,5035358036397,King Vertical Classic Bed,1500,2000,,1620,2150,410,2260,204,510,300,Vertical,Classic,Black,,100,,999,,,30,,,,699,,,Base Beds > Vertical > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,King Vertical Classic Bed 150x200 Black,king-vertical-classic-bed-150x200,King Vertical Classic Bed 150x200,"King Vertical Classic Bed 150x200 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and mult Shop now!"
10,5029981412955,European King Vertical Classic Bed,1600,2000,,1720,2150,410,2260,204,510,300,Vertical,Classic,Black,,100,,999,,,30,,,,699,,,Base Beds > Vertical > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,European King Vertical Classic Bed 160x200 Black,european-king-vertical-classic-bed-160x200,European King Vertical Classic Bed 160x200,"European King Vertical Classic Bed 160x200 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms Shop now!"
